Task 1: C (2000): 9 -> 9 = (+0.0), max 4585, ROI = 0.0%
Task 35: C (2000): 1001 -> 697 = (+3410.2), max 11229, ROI = 170.5%
Task 36: C (2000): 555 -> 318 = (+4795.1), max 11229, ROI = 239.8%
Task 37: C (2000): 1067 -> 669 = (+4188.5), max 11229, ROI = 209.4%
Task 38: C (2000): 704 -> 482 = (+3541.0), max 11229, ROI = 177.0%
Task 39: C (2000): 790 -> 501 = (+4107.8), max 11229, ROI = 205.4%
Task 40: C (2000): 1035 -> 718 = (+3439.2), max 11229, ROI = 172.0%
Task 41: C (2000): 1059 -> 682 = (+3997.5), max 11229, ROI = 199.9%
Task 42: C (2000): 882 -> 580 = (+3844.9), max 11229, ROI = 192.2%
Task 43: C (2000): 1081 -> 674 = (+4227.8), max 11229, ROI = 211.4%
Task 44: C (2000): 1060 -> 691 = (+3909.0), max 11229, ROI = 195.4%
Task 45: C (2000): 1041 -> 699 = (+3689.1), max 11229, ROI = 184.5%
Task 46: C (2000): 899 -> 562 = (+4209.3), max 11229, ROI = 210.5%
Task 47: C (2000): 885 -> 563 = (+4085.6), max 11229, ROI = 204.3%
Task 48: C (2000): 1088 -> 649 = (+4530.8), max 11229, ROI = 226.5%
Task 49: C (2000): 898 -> 598 = (+3751.3), max 11229, ROI = 187.6%
Task 50: C (2000): 1140 -> 785 = (+3496.8), max 11229, ROI = 174.8%
Task 51: C (2000): 2400 -> 1545 = (+4728.5), max 13273, ROI = 236.4%
Task 52: C (2000): 2398 -> 1511 = (+4909.6), max 13273, ROI = 245.5%
Task 53: C (2000): 2230 -> 1328 = (+5368.7), max 13273, ROI = 268.4%
Task 54: C (2000): 2199 -> 1326 = (+5183.2), max 13056, ROI = 259.2%
Task 55: C (2000): 2562 -> 1553 = (+5227.3), max 13273, ROI = 261.4%
Task 56: C (2000): 2785 -> 1647 = (+5423.6), max 13273, ROI = 271.2%
Task 57: C (2000): 2739 -> 1687 = (+5097.9), max 13273, ROI = 254.9%
Task 58: C (2000): 2440 -> 1598 = (+4575.4), max 13259, ROI = 228.8%
Task 59: C (2000): 2496 -> 1599 = (+4770.0), max 13273, ROI = 238.5%
Task 60: C (2000): 1862 -> 1150 = (+5075.4), max 13273, ROI = 253.8%
Task 61: C (2000): 2429 -> 1563 = (+4727.2), max 13259, ROI = 236.4%
Task 62: C (2000): 2898 -> 1771 = (+5161.7), max 13273, ROI = 258.1%
Task 63: C (2000): 2746 -> 1740 = (+4862.6), max 13273, ROI = 243.1%
Task 64: C (2000): 2540 -> 1480 = (+5539.1), max 13273, ROI = 277.0%
Task 65: C (2000): 3152 -> 1900 = (+5272.1), max 13273, ROI = 263.6%
Task 66: C (2000): 2557 -> 1527 = (+5346.6), max 13273, ROI = 267.3%
Task 67: C (2000): 2292 -> 1430 = (+4991.9), max 13273, ROI = 249.6%
Task 68: C (2000): 2061 -> 1266 = (+5114.5), max 13259, ROI = 255.7%
Task 69: C (2000): 2448 -> 1580 = (+4701.3), max 13259, ROI = 235.1%
Task 70: C (2000): 2441 -> 1469 = (+5285.3), max 13273, ROI = 264.3%
Task 71: C (2000): 2531 -> 1474 = (+5512.6), max 13200, ROI = 275.6%
Task 72: C (2000): 2360 -> 1562 = (+4442.1), max 13137, ROI = 222.1%
Task 73: C (2000): 3299 -> 2072 = (+4925.9), max 13244, ROI = 246.3%
Task 74: C (2000): 2761 -> 1671 = (+5234.4), max 13259, ROI = 261.7%
Task 75: C (2000): 2457 -> 1393 = (+5660.8), max 13072, ROI = 283.0%
Task 76: C (2000): 2924 -> 1892 = (+4679.6), max 13259, ROI = 234.0%
Task 77: C (2000): 1858 -> 1162 = (+4966.8), max 13259, ROI = 248.3%
Task 78: C (2000): 1824 -> 1143 = (+4933.9), max 13215, ROI = 246.7%
Task 79: C (2000): 2743 -> 1716 = (+4953.0), max 13229, ROI = 247.7%
Task 80: C (2000): 2802 -> 1779 = (+4829.9), max 13229, ROI = 241.5%
Task 81: C (2000): 2000 -> 1205 = (+5191.0), max 13059, ROI = 259.5%
Task 82: C (2000): 2879 -> 1814 = (+4904.8), max 13259, ROI = 245.2%
Task 83: C (2000): 2841 -> 1754 = (+5073.0), max 13259, ROI = 253.7%
Task 84: C (2000): 2896 -> 1767 = (+5157.3), max 13229, ROI = 257.9%
Task 85: C (2000): 3423 -> 2132 = (+4995.0), max 13244, ROI = 249.8%
Task 86: C (2000): 2110 -> 1284 = (+5184.6), max 13244, ROI = 259.2%
Task 87: C (2000): 3212 -> 1969 = (+5131.1), max 13259, ROI = 256.6%
Task 88: C (2000): 2777 -> 1727 = (+5013.3), max 13259, ROI = 250.7%
Task 89: C (2000): 3553 -> 2123 = (+5336.4), max 13259, ROI = 266.8%
Task 90: C (2000): 2922 -> 1884 = (+4710.1), max 13259, ROI = 235.5%
Task 91: C (2000): 3266 -> 1992 = (+5172.1), max 13259, ROI = 258.6%
Task 92: C (2000): 2940 -> 1824 = (+5033.0), max 13259, ROI = 251.7%
Task 93: C (2000): 2772 -> 1611 = (+5540.7), max 13229, ROI = 277.0%
Task 94: C (2000): 2329 -> 1474 = (+4867.5), max 13259, ROI = 243.4%
Task 95: C (2000): 2985 -> 1761 = (+5430.7), max 13244, ROI = 271.5%
Task 96: C (2000): 3156 -> 2000 = (+4788.1), max 13072, ROI = 239.4%
Task 97: C (2000): 3544 -> 2117 = (+5338.8), max 13259, ROI = 266.9%
Task 98: C (2000): 2972 -> 1919 = (+4697.8), max 13259, ROI = 234.9%
Task 99: C (2000): 2794 -> 1655 = (+5399.0), max 13244, ROI = 270.0%
Task 100: C (2000): 2761 -> 1679 = (+5190.2), max 13244, ROI = 259.5%
Task 101: C (2000): 8772 -> 6108 = (+4640.4), max 15280, ROI = 232.0%
Task 102: C (2000): 7918 -> 5505 = (+4656.6), max 15280, ROI = 232.8%
Task 103: C (2000): 10083 -> 6457 = (+5492.4), max 15273, ROI = 274.6%
Task 104: C (2000): 8438 -> 5440 = (+5402.7), max 15206, ROI = 270.1%
Task 105: C (2000): 8615 -> 5506 = (+5514.3), max 15280, ROI = 275.7%
Task 106: C (2000): 8760 -> 5385 = (+5887.0), max 15280, ROI = 294.3%
Task 107: C (2000): 7627 -> 4850 = (+5387.2), max 14796, ROI = 269.4%
Task 108: C (2000): 9269 -> 6045 = (+5314.8), max 15280, ROI = 265.7%
Task 109: C (2000): 9395 -> 6021 = (+5487.5), max 15280, ROI = 274.4%
Task 110: C (2000): 8460 -> 5974 = (+4490.1), max 15280, ROI = 224.5%
Task 111: C (2000): 8907 -> 6170 = (+4695.3), max 15280, ROI = 234.8%
Task 112: C (2000): 8332 -> 5376 = (+5421.0), max 15280, ROI = 271.0%
Task 113: C (2000): 6624 -> 4756 = (+4228.4), max 14994, ROI = 211.4%
Task 114: C (2000): 7146 -> 4765 = (+5091.2), max 15280, ROI = 254.6%
Task 115: C (2000): 7302 -> 4566 = (+5725.3), max 15280, ROI = 286.3%
Task 116: C (2000): 7513 -> 4999 = (+5113.0), max 15280, ROI = 255.6%
Task 117: C (2000): 8313 -> 5688 = (+4742.9), max 15020, ROI = 237.1%
Task 118: C (2000): 9111 -> 5917 = (+5356.6), max 15280, ROI = 267.8%
Task 119: C (2000): 8667 -> 6040 = (+4631.4), max 15280, ROI = 231.6%
Task 120: C (2000): 8222 -> 5007 = (+5974.8), max 15280, ROI = 298.7%
Task 121: C (2000): 9394 -> 6130 = (+5306.7), max 15273, ROI = 265.3%
Task 122: C (2000): 8887 -> 5688 = (+5497.7), max 15273, ROI = 274.9%
Task 123: C (2000): 7528 -> 5009 = (+5108.3), max 15266, ROI = 255.4%
Task 124: C (2000): 9444 -> 6203 = (+5241.4), max 15273, ROI = 262.1%
Task 125: C (2000): 9013 -> 5837 = (+5374.1), max 15251, ROI = 268.7%
Task 126: C (2000): 9448 -> 5887 = (+5753.8), max 15266, ROI = 287.7%
Task 127: C (2000): 6737 -> 4727 = (+4548.1), max 15244, ROI = 227.4%
Task 128: C (2000): 8758 -> 5821 = (+5119.5), max 15266, ROI = 256.0%
Task 129: C (2000): 10029 -> 6947 = (+4693.5), max 15273, ROI = 234.7%
Task 130: C (2000): 8995 -> 5299 = (+6269.8), max 15259, ROI = 313.5%
Task 131: C (2000): 8523 -> 5564 = (+5297.6), max 15259, ROI = 264.9%
Task 132: C (2000): 8618 -> 5744 = (+5091.0), max 15266, ROI = 254.6%
Task 133: C (2000): 6681 -> 4339 = (+5312.5), max 15155, ROI = 265.6%
Task 134: C (2000): 8533 -> 5800 = (+4880.2), max 15237, ROI = 244.0%
Task 135: C (2000): 8741 -> 5668 = (+5369.4), max 15273, ROI = 268.5%
Task 136: C (2000): 10651 -> 7501 = (+4516.9), max 15273, ROI = 225.8%
Task 137: C (2000): 8691 -> 5842 = (+4999.4), max 15251, ROI = 250.0%
Task 138: C (2000): 10252 -> 6546 = (+5521.0), max 15273, ROI = 276.1%
Task 139: C (2000): 7178 -> 4866 = (+4907.8), max 15237, ROI = 245.4%
Task 140: C (2000): 7268 -> 4927 = (+4919.4), max 15273, ROI = 246.0%
Task 141: C (2000): 7659 -> 4843 = (+5610.3), max 15259, ROI = 280.5%
Task 142: C (2000): 6097 -> 4019 = (+5172.7), max 15177, ROI = 258.6%
Task 143: C (2000): 8770 -> 5821 = (+5135.7), max 15273, ROI = 256.8%
Task 144: C (2000): 9453 -> 5934 = (+5669.2), max 15229, ROI = 283.5%
Task 145: C (2000): 8918 -> 5797 = (+5342.6), max 15266, ROI = 267.1%
Task 146: C (2000): 8143 -> 5164 = (+5543.5), max 15153, ROI = 277.2%
Task 147: C (2000): 9536 -> 6356 = (+5090.8), max 15266, ROI = 254.5%
Task 148: C (2000): 6308 -> 4063 = (+5435.6), max 15273, ROI = 271.8%
Task 149: C (2000): 9359 -> 6531 = (+4615.0), max 15273, ROI = 230.8%
Task 150: C (2000): 7444 -> 5229 = (+4544.6), max 15273, ROI = 227.2%
Task 151: C (2000): 1707 -> 1086 = (+4828.7), max 13273, ROI = 241.4%
Task 152: C (2000): 1521 -> 956 = (+4930.5), max 13273, ROI = 246.5%
Task 153: C (2000): 1886 -> 1153 = (+5158.6), max 13273, ROI = 257.9%
Task 154: C (2000): 1769 -> 1119 = (+4844.3), max 13184, ROI = 242.2%
Task 155: C (2000): 2010 -> 1226 = (+5124.1), max 13137, ROI = 256.2%
Task 156: C (2000): 1595 -> 1087 = (+4227.4), max 13273, ROI = 211.4%
Task 157: C (2000): 1712 -> 1104 = (+4708.8), max 13259, ROI = 235.4%
Task 158: C (2000): 1658 -> 1008 = (+5203.5), max 13273, ROI = 260.2%
Task 159: C (2000): 1211 -> 753 = (+5014.6), max 13259, ROI = 250.7%
Task 160: C (2000): 2628 -> 1515 = (+5621.3), max 13273, ROI = 281.1%
Task 161: C (2000): 2595 -> 1668 = (+4736.5), max 13259, ROI = 236.8%
Task 162: C (2000): 3134 -> 2000 = (+4797.6), max 13259, ROI = 239.9%
Task 163: C (2000): 1585 -> 1026 = (+4612.4), max 13078, ROI = 230.6%
Task 164: C (2000): 2271 -> 1431 = (+4898.7), max 13244, ROI = 244.9%
Task 165: C (2000): 2602 -> 1587 = (+5160.4), max 13229, ROI = 258.0%
Task 166: C (2000): 2628 -> 1697 = (+4691.8), max 13244, ROI = 234.6%
Task 167: C (2000): 3496 -> 2263 = (+4676.3), max 13259, ROI = 233.8%
Task 168: C (2000): 2376 -> 1481 = (+4994.4), max 13259, ROI = 249.7%
Task 169: C (2000): 3156 -> 1893 = (+5306.1), max 13259, ROI = 265.3%
Task 170: C (2000): 2604 -> 1825 = (+3966.5), max 13259, ROI = 198.3%
Task 171: C (2000): 3001 -> 1905 = (+4842.3), max 13259, ROI = 242.1%
Task 172: C (2000): 3384 -> 2165 = (+4776.2), max 13259, ROI = 238.8%
Task 173: C (2000): 2735 -> 1579 = (+5604.2), max 13259, ROI = 280.2%
Task 174: C (2000): 3279 -> 2354 = (+3740.3), max 13259, ROI = 187.0%
Task 175: C (2000): 2600 -> 1616 = (+5018.0), max 13259, ROI = 250.9%
Task 176: C (2000): 3385 -> 2114 = (+4978.5), max 13259, ROI = 248.9%
Task 177: C (2000): 3170 -> 1886 = (+5370.5), max 13259, ROI = 268.5%
Task 178: C (2000): 3210 -> 2032 = (+4865.8), max 13259, ROI = 243.3%
Task 179: C (2000): 2650 -> 1610 = (+5203.5), max 13259, ROI = 260.2%
Task 180: C (2000): 2689 -> 1676 = (+4994.9), max 13259, ROI = 249.7%
Task 181: C (2000): 6622 -> 4272 = (+5422.5), max 15280, ROI = 271.1%
Task 182: C (2000): 4236 -> 2783 = (+5236.4), max 15266, ROI = 261.8%
Task 183: C (2000): 8595 -> 5528 = (+5452.4), max 15280, ROI = 272.6%
Task 184: C (2000): 6105 -> 3977 = (+5326.1), max 15280, ROI = 266.3%
Task 185: C (2000): 5289 -> 3493 = (+5188.7), max 15280, ROI = 259.4%
Task 186: C (2000): 4237 -> 3066 = (+4223.0), max 15280, ROI = 211.2%
Task 187: C (2000): 3087 -> 2155 = (+4611.1), max 15273, ROI = 230.6%
Task 188: C (2000): 7367 -> 5093 = (+4716.5), max 15280, ROI = 235.8%
Task 189: C (2000): 7764 -> 5304 = (+4837.0), max 15266, ROI = 241.8%
Task 190: C (2000): 6647 -> 4562 = (+4793.0), max 15280, ROI = 239.6%
Task 191: C (2000): 7724 -> 5394 = (+4607.2), max 15273, ROI = 230.4%
Task 192: C (2000): 8231 -> 5273 = (+5488.7), max 15273, ROI = 274.4%
Task 193: C (2000): 9583 -> 5963 = (+5769.4), max 15273, ROI = 288.5%
Task 194: C (2000): 8715 -> 5931 = (+4869.7), max 15244, ROI = 243.5%
Task 195: C (2000): 9352 -> 6020 = (+5441.6), max 15273, ROI = 272.1%
Task 196: C (2000): 9040 -> 6035 = (+5072.3), max 15259, ROI = 253.6%
Task 197: C (2000): 5867 -> 3932 = (+5027.6), max 15244, ROI = 251.4%
Task 198: C (2000): 8044 -> 5165 = (+5453.4), max 15237, ROI = 272.7%
Task 199: C (2000): 8480 -> 5601 = (+5185.3), max 15273, ROI = 259.3%
Task 200: C (2000): 6687 -> 4394 = (+5237.2), max 15273, ROI = 261.9%
Task 201: C (2000): 9493 -> 5861 = (+5843.4), max 15273, ROI = 292.2%
Task 202: C (2000): 8155 -> 5406 = (+5148.4), max 15273, ROI = 257.4%
Task 203: C (2000): 8692 -> 5472 = (+5622.0), max 15176, ROI = 281.1%
Task 204: C (2000): 9312 -> 5729 = (+5876.6), max 15273, ROI = 293.8%
Task 205: C (2000): 8499 -> 5261 = (+5818.8), max 15273, ROI = 290.9%
Task 206: C (2000): 10149 -> 6431 = (+5592.6), max 15266, ROI = 279.6%
Task 207: C (2000): 9005 -> 5884 = (+5293.4), max 15273, ROI = 264.7%
Task 208: C (2000): 8443 -> 5884 = (+4629.1), max 15273, ROI = 231.5%
Task 209: C (2000): 6999 -> 4594 = (+5243.3), max 15259, ROI = 262.2%
Task 210: C (2000): 8839 -> 5502 = (+5763.4), max 15266, ROI = 288.2%
Task 211: C (2000): 21561 -> 13982 = (+6075.6), max 17284, ROI = 303.8%
Task 212: C (2000): 17064 -> 12512 = (+4610.7), max 17284, ROI = 230.5%
Task 213: C (2000): 22925 -> 15899 = (+5297.2), max 17284, ROI = 264.9%
Task 214: C (2000): 19026 -> 13032 = (+5445.2), max 17284, ROI = 272.3%
Task 215: C (2000): 21679 -> 14956 = (+5360.0), max 17284, ROI = 268.0%
Task 216: C (2000): 22509 -> 14842 = (+5884.9), max 17277, ROI = 294.2%
Task 217: C (2000): 18382 -> 12513 = (+5509.2), max 17255, ROI = 275.5%
Task 218: C (2000): 28521 -> 19442 = (+5500.7), max 17280, ROI = 275.0%
Task 219: C (2000): 24179 -> 16139 = (+5744.9), max 17277, ROI = 287.2%
Task 220: C (2000): 23362 -> 16661 = (+4953.6), max 17270, ROI = 247.7%
Task 221: C (2000): 973 -> 815 = (+2150.6), max 13244, ROI = 107.5%
Task 222: C (2000): 1342 -> 997 = (+3381.4), max 13153, ROI = 169.1%
Task 223: C (2000): 1338 -> 1068 = (+2678.4), max 13273, ROI = 133.9%
Task 224: C (2000): 1575 -> 1171 = (+3404.6), max 13273, ROI = 170.2%
Task 225: C (2000): 1036 -> 818 = (+2793.0), max 13273, ROI = 139.6%
Task 226: C (2000): 1107 -> 953 = (+1846.5), max 13273, ROI = 92.3%
Task 227: C (2000): 864 -> 689 = (+2667.3), max 13169, ROI = 133.4%
Task 228: C (2000): 688 -> 551 = (+2643.0), max 13273, ROI = 132.2%
Task 229: C (2000): 943 -> 744 = (+2801.0), max 13273, ROI = 140.0%
Task 230: C (2000): 1007 -> 747 = (+3427.0), max 13273, ROI = 171.3%
Task 231: C (2000): 1455 -> 1381 = (+674.3), max 13259, ROI = 33.7%
Task 232: C (2000): 1701 -> 1313 = (+3024.4), max 13259, ROI = 151.2%
Task 233: C (2000): 1551 -> 1238 = (+2675.7), max 13259, ROI = 133.8%
Task 234: C (2000): 1530 -> 1274 = (+2218.5), max 13259, ROI = 110.9%
Task 235: C (2000): 1259 -> 1065 = (+2033.8), max 13199, ROI = 101.7%
Task 236: C (2000): 1418 -> 1197 = (+2066.5), max 13259, ROI = 103.3%
Task 237: C (2000): 1648 -> 1464 = (+1480.4), max 13259, ROI = 74.0%
Task 238: C (2000): 1748 -> 1287 = (+3496.8), max 13259, ROI = 174.8%
Task 239: C (2000): 1321 -> 1137 = (+1846.8), max 13259, ROI = 92.3%
Task 240: C (2000): 1855 -> 1529 = (+2330.2), max 13259, ROI = 116.5%
Task 241: C (2000): 2782 -> 2512 = (+1483.0), max 15280, ROI = 74.1%
Task 242: C (2000): 3066 -> 2726 = (+1694.5), max 15280, ROI = 84.7%
Task 243: C (2000): 1532 -> 1300 = (+2313.9), max 15280, ROI = 115.7%
Task 244: C (2000): 3182 -> 2449 = (+3518.3), max 15273, ROI = 175.9%
Task 245: C (2000): 1992 -> 1787 = (+1572.5), max 15280, ROI = 78.6%
Task 246: C (2000): 2268 -> 1996 = (+1831.7), max 15273, ROI = 91.6%
Task 247: C (2000): 2128 -> 1858 = (+1938.7), max 15280, ROI = 96.9%
Task 248: C (2000): 1888 -> 1471 = (+3374.9), max 15280, ROI = 168.7%
Task 249: C (2000): 2219 -> 1995 = (+1542.5), max 15280, ROI = 77.1%
Task 250: C (2000): 2326 -> 2008 = (+2089.0), max 15280, ROI = 104.5%
Task 251: C (2000): 3117 -> 2942 = (+857.1), max 15266, ROI = 42.9%
Task 252: C (2000): 3489 -> 3053 = (+1907.7), max 15266, ROI = 95.4%
Task 253: C (2000): 2631 -> 2310 = (+1860.7), max 15251, ROI = 93.0%
Task 254: C (2000): 2670 -> 2073 = (+3413.4), max 15266, ROI = 170.7%
Task 255: C (2000): 4490 -> 3452 = (+3530.8), max 15273, ROI = 176.5%
Task 256: C (2000): 3024 -> 2666 = (+1807.3), max 15266, ROI = 90.4%
Task 257: C (2000): 3190 -> 2681 = (+2435.9), max 15266, ROI = 121.8%
Task 258: C (2000): 2629 -> 2128 = (+2876.8), max 15096, ROI = 143.8%
Task 259: C (2000): 3470 -> 2942 = (+2324.0), max 15273, ROI = 116.2%
Task 260: C (2000): 3109 -> 2552 = (+2736.3), max 15273, ROI = 136.8%
Task 261: C (2000): 3218 -> 2648 = (+2704.0), max 15266, ROI = 135.2%
Task 262: C (2000): 3691 -> 3452 = (+989.0), max 15273, ROI = 49.4%
Task 263: C (2000): 3311 -> 2924 = (+1785.2), max 15273, ROI = 89.3%
Task 264: C (2000): 3450 -> 3068 = (+1690.3), max 15266, ROI = 84.5%
Task 265: C (2000): 2873 -> 2058 = (+4330.6), max 15266, ROI = 216.5%
Task 266: C (2000): 3192 -> 2959 = (+1107.8), max 15176, ROI = 55.4%
Task 267: C (2000): 3486 -> 2850 = (+2782.5), max 15251, ROI = 139.1%
Task 268: C (2000): 3801 -> 3180 = (+2493.0), max 15259, ROI = 124.6%
Task 269: C (2000): 3811 -> 3059 = (+3013.7), max 15273, ROI = 150.7%
Task 270: C (2000): 3099 -> 2604 = (+2436.0), max 15251, ROI = 121.8%
Task 271: C (2000): 5258 -> 4665 = (+1949.3), max 17284, ROI = 97.5%
Task 272: C (2000): 6191 -> 5481 = (+1982.2), max 17284, ROI = 99.1%
Task 273: C (2000): 10574 -> 9226 = (+2202.5), max 17277, ROI = 110.1%
